,Customer ID,Total Spend - Prediction
0,258,818.8999999999999
1,442,1150.6
2,416,708.0923076923076
3,335,830.75
4,256,428.07272727272726
5,375,470.5
6,405,437.9428571428572
7,328,1143.9333333333334
8,379,1437.2666666666667
9,286,428.07272727272726
10,176,1490.1
11,225,687.2666666666668
12,269,1160.3
13,227,1160.3
14,274,428.07272727272726
15,140,1458.8333333333333
16,398,660.3
17,178,470.5
18,157,483.3269230769231
19,219,674.8454545454546
20,334,1192.4666666666667
21,146,1490.1
22,283,503.40384615384613
23,373,1490.1
24,183,708.0923076923076
25,126,818.8999999999999
26,339,440.90000000000003
27,110,1490.1
28,194,1372.2
29,296,1372.2
30,395,800.9
31,278,1490.1
32,123,708.0923076923076
33,220,464.25
34,383,820.9
35,156,818.8999999999999
36,143,1128.8666666666668
37,131,1192.4666666666667
38,309,440.90000000000003
39,410,660.3
40,214,428.07272727272726
41,185,1143.9333333333334
42,438,511.4642857142857
43,106,428.07272727272726
44,350,674.8454545454546
45,253,503.40384615384613
46,158,1495.6555555555556
47,389,794.4857142857143
48,174,818.8999999999999
49,424,1190.8
50,439,1467.7727272727273
51,104,1437.2666666666667
52,209,1179.3714285714286
53,210,790.1999999999999
54,341,794.4857142857143
55,386,660.3
56,147,674.8454545454546
57,304,1179.3714285714286
58,173,1128.8666666666668
59,215,1143.9333333333334
60,277,483.3269230769231
61,134,1372.2
62,164,1372.2
63,440,708.0923076923076
64,177,674.8454545454546
65,195,687.2666666666668
66,282,790.1999999999999
67,280,470.5
68,300,794.4857142857143
69,427,1437.2666666666667
